service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1891,1,1,1,1,1,0,0,2017/09/04,2017/10/13
17475,1,1,1,1,1,0,0,2017/09/04,2017/10/13
17476,0,0,0,0,0,1,1,2017/09/03,2017/09/24
17477,0,0,0,0,0,0,1,2017/10/15,2017/10/22
17479,0,0,0,0,0,0,1,2017/09/03,2017/10/08
3342,0,0,0,0,0,1,1,2017/10/30,2017/12/02
17480,1,1,1,1,1,1,1,2017/09/03,2017/10/14
3365,1,1,1,1,0,0,0,2017/10/16,2017/11/30
17481,0,0,0,0,0,0,1,2017/09/03,2017/10/08
17482,0,0,0,0,0,0,1,2017/09/03,2017/10/08
17483,1,1,1,1,1,1,0,2017/09/04,2017/10/14
17484,1,1,1,1,1,1,1,2017/09/03,2017/10/14
17485,0,0,0,0,0,0,1,2017/09/03,2017/10/08
17486,1,1,1,1,1,1,1,2017/09/03,2017/10/14
17487,0,0,0,0,0,0,1,2017/09/03,2017/10/08
17488,0,0,0,0,0,1,0,2017/09/09,2017/10/14
17489,1,1,1,1,1,0,0,2017/09/04,2017/10/13
9733,0,0,0,0,0,0,1,2017/09/03,2017/09/10
3390,0,0,0,0,1,1,1,2017/10/20,2017/12/02
3394,0,0,0,0,1,0,0,2017/09/08,2017/09/15
3396,0,0,0,0,1,1,1,2017/09/09,2017/10/15
1534,1,1,1,1,1,1,1,2017/10/16,2017/12/02
3398,0,0,0,0,0,0,1,2017/10/22,2017/11/26
3397,0,0,0,0,0,0,1,2017/09/03,2017/10/15
3393,1,1,1,1,0,0,0,2017/11/13,2017/11/16
2136,1,1,0,0,0,0,0,2017/09/11,2017/09/12
110,0,0,0,0,0,0,1,2017/09/03,2017/09/04
2438,1,1,1,1,0,0,0,2017/09/11,2017/10/05
3463,1,1,1,1,0,0,0,2017/10/16,2017/10/19
3469,1,1,1,1,1,1,1,2017/09/18,2017/09/24
1602,1,1,1,1,1,1,1,2017/10/09,2017/10/15
3464,0,1,1,0,0,0,0,2017/09/05,2017/09/06
3465,1,1,1,1,1,0,0,2017/10/20,2017/12/01
3388,1,0,0,1,0,0,0,2017/10/30,2017/11/02
3453,1,1,1,1,1,1,1,2017/10/02,2017/10/15
3462,0,0,0,0,1,0,0,2017/09/07,2017/10/06
3389,1,1,1,1,0,0,0,2017/09/05,2017/10/26
3379,1,1,1,1,0,0,0,2017/09/04,2017/11/02
3386,1,1,1,1,0,0,0,2017/11/20,2017/11/30
3381,0,0,0,0,0,0,1,2017/09/03,2017/11/26
3380,1,1,1,1,1,0,0,2017/10/20,2017/12/01
2262,1,1,1,1,0,0,0,2017/10/09,2017/10/12
3415,0,0,0,0,1,0,0,2017/09/29,2017/10/06
3414,0,0,0,0,0,1,1,2017/10/21,2017/12/02
3410,0,0,0,0,1,0,0,2017/09/08,2017/09/24
3404,0,0,0,0,1,0,0,2017/10/20,2017/12/01
3405,0,0,0,0,0,0,1,2017/09/25,2017/10/01
3412,1,1,1,1,0,0,0,2017/10/02,2017/10/26
3406,1,1,1,1,0,0,0,2017/11/20,2017/11/30
3407,0,0,0,0,0,1,1,2017/09/03,2017/10/15
3456,1,1,1,1,1,1,1,2017/09/04,2017/10/15
3411,1,1,1,1,0,0,0,2017/09/05,2017/09/28
3433,1,1,1,1,0,0,0,2017/10/16,2017/10/30
3431,0,0,0,0,0,1,1,2017/09/18,2017/09/29
3372,1,1,1,1,1,1,0,2017/09/05,2017/10/14
1820,1,1,1,1,1,1,0,2017/10/16,2017/12/02
3432,0,0,0,0,1,0,0,2017/09/15,2017/09/24
3438,1,1,1,1,0,0,0,2017/11/13,2017/11/16
3439,0,1,1,1,0,0,0,2017/11/20,2017/11/30
