service_id,date,exception_type
8664,20170918,2
8664,20170919,2
8664,20170920,2
8664,20170921,2
8664,20170922,2
8664,20171030,2
8664,20171031,2
8664,20171101,2
8664,20171102,2
8664,20171103,2
8664,20171106,2
8664,20171107,2
8664,20171108,2
8664,20171109,2
8664,20171110,2
8664,20171113,2
8664,20171114,2
8664,20171115,2
8664,20171116,2
8664,20171117,2
8640,20171104,1
8640,20171105,1
1,20171105,1
8674,20170903,1
8675,20171120,1
8675,20171121,1
8675,20171122,1
8675,20171123,1
8675,20171124,1
8675,20171125,1
8675,20171126,1
8675,20171007,1
8675,20171008,1
8675,20171001,1
8675,20171127,1
8675,20171128,1
8675,20171129,1
8675,20171130,1
8675,20171201,1
8675,20171202,1
307,20171028,1
2331,20171201,2
2355,20171202,1
2357,20171125,1
2357,20171126,1
2357,20171104,1
2357,20171105,1
2330,20171104,1
2335,20171104,1
2335,20171105,1
2335,20171106,1
2335,20171107,1
2335,20171108,1
2335,20171109,1
2335,20171110,1
2335,20171113,1
2335,20171114,1
2335,20171115,1
2335,20171116,1
2335,20171117,1
2335,20171120,1
2335,20171121,1
2335,20171122,1
2335,20171123,1
2335,20171124,1
2335,20171125,1
2335,20171126,1
2335,20171127,1
2335,20171128,1
2335,20171129,1
2335,20171130,1
2335,20171202,1
2335,20171111,2
2335,20171112,2
2335,20171118,2
2335,20171119,2
2335,20171029,2
2335,20171016,2
2335,20171017,2
2335,20171018,2
2335,20171019,2
2335,20171020,2
2335,20171030,2
2335,20171031,2
2335,20171101,2
2335,20171102,2
2335,20171103,2
2335,20171201,2
2346,20171111,2
2346,20171118,2
2347,20171022,1
184,20170903,1
978,20171015,1
2342,20171002,2
2342,20171003,2
2342,20171004,2
2342,20171005,2
2342,20171001,2
489,20171001,1
2344,20171105,1
392,20171006,1
2348,20171126,1
1780,20170930,1
8647,20170903,1
8647,20171125,1
8647,20171202,1
8650,20170926,1
8650,20170927,1
8650,20170928,1
8650,20170929,1
8650,20171002,1
8650,20171003,1
8650,20171004,1
8650,20171005,1
8650,20171006,1
8650,20171007,1
8650,20170925,2
8650,20170930,2
8645,20171201,1
982,20171104,1
731,20170903,1
8628,20171030,2
8628,20171031,2
8628,20171101,2
820,20170903,1
4252,20171023,1
8634,20171023,2
8632,20171202,1
8631,20171105,1
8644,20171120,1
8644,20171121,1
8644,20171122,1
8644,20171123,1
8644,20171124,1
8644,20171126,1
8644,20171127,1
8644,20171128,1
8644,20171129,1
8644,20171130,1
8618,20171104,1
8621,20171120,1
8621,20171121,1
8621,20171122,1
8621,20171123,1
8621,20171124,1
8621,20171127,1
8621,20171128,1
8621,20171129,1
8621,20171130,1
8621,20171201,1
8623,20171120,1
8623,20171121,1
8623,20171122,1
8623,20171123,1
8623,20171124,1
8623,20171126,1
8623,20171127,1
8623,20171128,1
8623,20171129,1
8623,20171130,1
8623,20171201,1
8622,20171105,1
2358,20170915,1
2358,20170922,1
2358,20170929,1
2358,20171006,1
2358,20170908,1
2358,20171124,1
2351,20171030,2
2351,20171031,2
2351,20171101,2
2351,20171029,2
2351,20171111,2
2351,20171112,2
2362,20171126,1
2333,20171007,1
2333,20171008,1
2333,20171120,1
2333,20171121,1
2333,20171122,1
2333,20171123,1
2333,20171124,1
2333,20171125,1
2333,20171126,1
2333,20171127,1
2333,20171128,1
2333,20171129,1
2333,20171130,1
2333,20171202,1
2333,20171201,2
2359,20171030,2
2359,20171031,2
2359,20171101,2
2359,20171111,2
2359,20171118,2
1532,20171202,1
2360,20171125,1
2350,20171120,1
2350,20171121,1
2350,20171122,1
2350,20171123,1
2350,20171124,1
2350,20171125,1
2350,20171126,1
