service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2397,0,0,0,0,0,1,1,20171021,20171104
2396,0,0,0,0,0,1,1,20170903,20170910
2388,0,0,0,0,0,0,1,20170917,20171015
17441,0,1,1,1,1,0,0,20170905,20170908
17442,0,1,1,1,1,0,0,20171003,20171020
1055,0,0,0,0,0,1,1,20171105,20171202
17443,0,1,1,1,1,0,0,20170912,20170929
2401,0,0,0,0,0,1,1,20170916,20171015
2381,0,0,0,0,0,0,1,20170903,20170910
2405,0,0,0,0,0,1,1,20171105,20171126
17444,1,0,0,0,0,1,0,20170909,20171030
17445,1,0,0,0,0,0,0,20170904,20170911
762,0,0,0,0,0,0,1,20171105,20171126
2406,0,0,0,0,0,1,1,20171021,20171104
2407,0,0,0,0,0,1,1,20170903,20170910
2377,0,0,0,0,0,0,1,20171105,20171126
2378,0,1,1,1,1,0,0,20171024,20171031
2380,1,1,1,1,1,1,0,20171106,20171202
2379,0,0,0,0,0,0,1,20171022,20171101
2478,1,1,1,1,1,1,0,20170904,20171202
2477,1,1,1,1,1,0,0,20170904,20171201
203,1,1,1,1,1,0,0,20170904,20171201
17446,0,0,0,0,0,1,0,20170916,20171028
2520,1,1,1,1,1,0,0,20170918,20171031
17447,1,1,1,1,1,0,0,20170904,20170914
55,0,0,0,0,0,0,1,20170903,20170910
2519,1,1,1,1,1,0,0,20170904,20170915
2532,1,1,1,1,1,1,1,20170916,20171031
2523,0,0,0,0,0,1,0,20170916,20171028
2524,1,1,1,1,1,0,0,20170904,20170915
2525,1,1,1,1,1,0,0,20170918,20171008
17449,0,1,1,1,0,0,0,20170912,20170914
17450,1,1,1,1,1,0,0,20170915,20171031
17451,1,1,1,1,1,0,0,20170918,20171008
1603,0,1,1,1,1,0,0,20170912,20170915
477,1,1,1,1,1,0,0,20170904,20170911
2521,1,1,1,1,1,0,0,20170912,20171031
2526,1,1,1,1,1,1,0,20170904,20170911
2528,1,1,1,1,1,1,0,20170916,20171031
2529,1,1,1,1,1,1,0,20170912,20171031
17452,1,1,1,1,1,0,0,20171009,20171027
2619,1,1,1,1,1,1,1,20170903,20171202
2620,1,1,1,1,1,1,1,20170903,20171202
2613,0,0,0,0,0,1,1,20170903,20171202
2590,0,0,0,0,0,1,0,20170909,20171202
3244,0,0,0,0,1,0,0,20171006,20171117
3162,0,0,0,0,0,1,0,20171007,20171118
3242,0,0,0,0,1,0,0,20171006,20171201
3193,1,0,0,0,0,0,0,20170911,20171016
3241,0,0,0,0,1,0,0,20170908,20170929
241,0,0,0,0,1,0,0,20170915,20170929
3243,0,0,0,0,0,0,1,20171008,20171119
3215,1,1,1,1,1,1,1,20171002,20171201
3216,1,1,1,1,1,0,1,20170903,20171001
3188,1,1,1,1,1,0,0,20171002,20171201
3154,1,1,1,1,1,0,0,20170904,20170929
3214,1,1,1,1,1,0,0,20171002,20171201
3202,1,1,1,1,1,0,0,20170904,20170929
3189,0,0,0,0,0,1,0,20171007,20171118
3180,1,1,1,1,1,0,0,20170904,20170930
1831,1,1,1,1,1,0,0,20171002,20171201
3182,1,1,1,1,1,1,0,20171002,20171201
3159,1,1,1,1,1,0,0,20170904,20170929
3228,1,1,1,1,1,1,1,20171002,20171201
3230,1,1,1,1,1,0,1,20170903,20171001
2236,1,1,1,1,1,0,0,20170925,20170929
3173,1,1,1,1,1,0,0,20170904,20170922
3223,0,0,0,0,1,0,0,20171006,20171201
3168,0,0,0,0,0,1,1,20171007,20171119
3196,0,1,1,1,1,0,0,20170903,20171001
3160,1,1,1,1,1,0,0,20171002,20171201
3184,1,1,1,1,0,0,0,20170904,20170928
3218,0,0,0,0,0,0,1,20171008,20171119
3237,0,0,0,0,0,0,1,20170903,20170910
3203,1,1,1,1,1,0,0,20171002,20171201
3236,1,1,1,1,0,0,0,20171002,20171130
3194,1,1,1,1,1,1,1,20171030,20171201
3177,1,1,1,1,1,0,0,20171002,20171201
3103,1,1,1,1,0,0,0,20170904,20170928
3221,1,1,1,1,0,0,0,20171002,20171130
3186,0,0,0,0,1,0,0,20171030,20171201
3192,0,0,0,0,0,0,1,20171008,20171119
3179,1,1,1,1,1,1,1,20171002,20171201
3172,1,1,1,1,1,0,0,20171002,20171201
3165,0,0,0,0,0,1,0,20171007,20171202
3185,0,0,0,0,0,1,0,20171007,20171118
3187,1,1,1,1,1,1,0,20171002,20171202
3156,1,1,1,1,1,0,0,20171002,20171201
3226,1,1,1,1,1,0,1,20170903,20171001
3224,1,1,1,1,1,0,1,20171002,20171201
3210,1,1,1,1,1,1,1,20171002,20171201
3208,1,1,1,1,1,1,1,20170903,20170910
3232,1,1,1,1,1,0,1,20171002,20171201
3227,1,1,1,1,1,1,1,20171002,20171201
3235,0,0,0,0,0,0,1,20170903,20170910
3238,0,0,0,0,0,0,1,20171028,20171105
