service_id,date,exception_type
8646,2017/11/09,1
8646,2017/11/10,1
8646,2017/11/13,1
8646,2017/11/14,1
8646,2017/11/15,1
8646,2017/11/16,1
8646,2017/11/17,1
8646,2017/10/30,2
8646,2017/10/31,2
8646,2017/11/01,2
87,2017/11/26,1
8670,2017/10/16,2
8670,2017/10/10,2
8670,2017/10/30,2
8670,2017/10/31,2
8670,2017/11/01,2
8670,2017/11/07,2
8670,2017/11/11,2
8635,2017/11/07,1
8673,2017/10/14,1
8673,2017/10/15,1
8673,2017/10/21,1
8673,2017/10/22,1
8673,2017/10/28,1
8673,2017/10/01,2
1724,2017/10/27,1
8669,2017/10/02,2
8669,2017/10/03,2
8669,2017/10/04,2
8669,2017/10/05,2
8669,2017/10/06,2
8669,2017/10/09,2
2993,2017/10/16,1
2312,2017/10/30,2
2312,2017/10/31,2
2312,2017/11/01,2
8664,2017/09/25,2
8664,2017/09/26,2
8664,2017/09/18,2
8664,2017/09/19,2
8664,2017/09/20,2
8664,2017/09/21,2
8664,2017/09/22,2
8664,2017/10/30,2
8664,2017/10/31,2
8664,2017/11/01,2
8664,2017/11/02,2
8664,2017/11/03,2
8664,2017/11/06,2
8664,2017/11/07,2
8664,2017/11/08,2
8664,2017/11/09,2
8664,2017/11/10,2
8664,2017/11/13,2
8664,2017/11/14,2
8664,2017/11/15,2
8664,2017/11/16,2
8664,2017/11/17,2
8640,2017/11/04,1
8640,2017/11/05,1
1,2017/11/05,1
8674,2017/09/03,1
8675,2017/11/20,1
8675,2017/11/21,1
8675,2017/11/22,1
8675,2017/11/23,1
8675,2017/11/24,1
8675,2017/11/25,1
8675,2017/11/26,1
8675,2017/10/07,1
8675,2017/10/08,1
8675,2017/10/01,1
8675,2017/11/27,1
8675,2017/11/28,1
8675,2017/11/29,1
8675,2017/11/30,1
8675,2017/12/01,1
8675,2017/12/02,1
307,2017/10/28,1
2331,2017/12/01,2
2355,2017/12/02,1
2357,2017/11/25,1
2357,2017/11/26,1
2357,2017/11/04,1
2357,2017/11/05,1
2330,2017/11/04,1
2335,2017/11/04,1
2335,2017/11/05,1
2335,2017/11/06,1
2335,2017/11/07,1
2335,2017/11/08,1
2335,2017/11/09,1
2335,2017/11/10,1
2335,2017/11/13,1
2335,2017/11/14,1
2335,2017/11/15,1
2335,2017/11/16,1
2335,2017/11/17,1
2335,2017/11/20,1
2335,2017/11/21,1
2335,2017/11/22,1
2335,2017/11/23,1
2335,2017/11/24,1
2335,2017/11/25,1
2335,2017/11/26,1
2335,2017/11/27,1
2335,2017/11/28,1
2335,2017/11/29,1
2335,2017/11/30,1
2335,2017/12/02,1
2335,2017/11/11,2
2335,2017/11/12,2
2335,2017/11/18,2
2335,2017/11/19,2
2335,2017/10/29,2
2335,2017/10/16,2
2335,2017/10/17,2
2335,2017/10/18,2
2335,2017/10/19,2
2335,2017/10/20,2
2335,2017/10/30,2
2335,2017/10/31,2
