Quesnoy-le-Montant,N,O,323000,1.0,Quesnoy-le-Montant,Somme,50.1088300084, 1.70241712356
Marseille-en-Beauvaisis,N,O,325000,1.0,Marseille-en-Beauvaisis,Oise,49.5709525058, 1.95468419035
Grez-Gaudechart,N,O,325000,1.0,Grez,Oise,49.6236429704, 1.96765760211
Grandvilliers,O,O,325000,1.0,Halloy,Oise,49.6592618375, 1.93872868185
Moulin-Neuf (Oise),O,N,325000,1.0,Chambly,Oise,49.1610039495, 2.25893637041
Chambly,N,O,325000,1.0,Chambly,Oise,49.1634568047, 2.240471809
Méru,N,O,325000,1.0,Méru,Oise,49.2324799162, 2.13231871565
Achy,N,O,325000,1.0,Achy,Oise,49.5548552394, 1.97890014797
Le Tréport-Mers,O,O,325000,3.0,Le Tréport,Seine-Maritime,50.0629375267, 1.37641640215
Écouen-Ézanville,N,O,325000,1.0,Ézanville,Val-d'Oise,49.0225685589, 2.36318096204
Montsoult-Maffliers,N,O,325000,1.0,Montsoult,Val-d'Oise,49.0660249994, 2.32248854046
Presles-Courcelles,N,O,325000,1.0,Presles,Val-d'Oise,49.1134599421, 2.28790197852
Épinay-Villetaneuse,N,O,325000,1.0,Épinay-sur-Seine,Val-d'Oise,48.9579620441, 2.32853260763
Gros-Noyer-St-Prix,N,O,328000,1.0,Ermont,Val-d'Oise,48.9968183758, 2.25909450518
Frépillon,N,O,328000,1.0,Frépillon,Val-d'Oise,49.0460675059, 2.19711056848
Mériel,N,O,328000,1.0,Mériel,Val-d'Oise,49.0772421086, 2.20501408514
Valmondois,N,O,328000,1.0,Butry-sur-Oise,Val-d'Oise,49.0915646044, 2.20199023917
Boran-sur-Oise,N,O,329000,1.0,Boran-sur-Oise,Oise,49.1670449919, 2.36276410393
Épluches,O,O,329000,1.0,St-Ouen-l'Aumône,Val-d'Oise,49.0553524276, 2.12306176276
Champagne-sur-Oise,N,O,329000,1.0,Champagne-sur-Oise,Val-d'Oise,49.1355194798, 2.24140969401
Bruyères-sur-Oise,N,O,329000,1.0,Bruyères-sur-Oise,Val-d'Oise,49.1551571576, 2.32642320601
Le Cailar,N,O,819000,1.0,Le Cailar,Gard,43.6832766533, 4.23491759558
Aimargues,N,O,819000,1.0,Aimargues,Gard,43.6786514132, 4.20874175028
St-Gilles-du-Gard,O,N,820000,1.0,St-Gilles,Gard,43.6709910684, 4.43186373197
Le Cailar,N,O,820000,2.0,Le Cailar,Gard,43.6832766533, 4.23491759558
Barbentane-Rognonas,O,N,830000,1.0,Barbentane,Bouches-du-Rhône,43.8966486933, 4.78276495886
Miramas,O,O,830000,1.0,Miramas,Bouches-du-Rhône,43.5809187235, 4.99949264052
Lantenay,N,O,830000,1.0,Lantenay,Côte-d'Or,47.3351185143, 4.86107507145
Corgoloin,N,O,830000,1.0,Corgoloin,Côte-d'Or,47.084012893, 4.91705836304
Portes,O,N,830000,1.0,Portes-lès-Valence,Drôme,44.8795372567, 4.87424600287
La Coucourde-Condillac,N,N,830000,1.0,La Coucourde,Drôme,44.6505317905, 4.78081640695
Pierrelatte,O,O,830000,1.0,Pierrelatte,Drôme,44.3746462049, 4.70394425778
Yerres,N,O,830000,1.0,Yerres,Essonne,48.7061743756, 2.4813577503
Brunoy,N,O,830000,1.0,Brunoy,Essonne,48.7004587603, 2.50556139102
St-Clair-les-Roches,O,O,830000,1.0,St-Clair-du-Rhône,Isère,45.4502570215, 4.76986561258
Collonges-Fontaines,O,O,830000,1.0,Collonges-au-Mont-d'Or,Rhône,45.8289368363, 4.84643167095
Lyon-Guillotière (Scaronne),N,N,830000,1.0,Lyon-07,Rhône,45.7181456074, 4.84944032477
Sérézin,N,O,830000,1.0,Sérézin-du-Rhône,Rhône,45.627230655, 4.81781390619
Rully,N,O,830000,1.0,Rully,Saône-et-Loire,46.8802952253, 4.76103583706
Fleurville-Pont-de-Vaux,N,O,830000,1.0,Fleurville,Saône-et-Loire,46.4509569682, 4.88408057729
Senozan,N,O,830000,1.0,Senozan,Saône-et-Loire,46.3913885372, 4.87069732395
Pontanevaux,N,O,830000,1.0,La Chapelle-de-Guinchay,Saône-et-Loire,46.2130726567, 4.77271094072
Le Mée,N,O,830000,1.0,Le Mée-sur-Seine,Seine-et-Marne,48.5410655401, 2.62236233145
Melun,O,O,830000,1.0,Melun,Seine-et-Marne,48.5278479516, 2.65335157171
Villeneuve-St-Georges,N,O,830000,1.0,Villeneuve-St-Georges,Val-de-Marne,48.731435751, 2.44637894125
Pompadour-Maisons-Alfort,O,N,830000,1.0,Maisons-Alfort,Val-de-Marne,48.7893765699, 2.43187086815
Orange,O,O,830000,1.0,Orange,Vaucluse,44.1374545887, 4.81964107431
Courthézon,N,O,830000,1.0,Courthézon,Vaucluse,44.0899102485, 4.88830527092
Sens,O,O,830000,1.0,Sens,Yonne,48.1987581125, 3.26737572178
Villeneuve-sur-Yonne,N,O,830000,1.0,Villeneuve-sur-Yonne,Yonne,48.0860909077, 3.286346893
St-Julien-du-Sault,O,O,830000,1.0,St-Julien-du-Sault,Yonne,48.0278485511, 3.3036705708
Joigny,O,O,830000,1.0,Joigny,Yonne,47.9734041505, 3.39131139689
St-Florentin-Vergigny,O,O,830000,1.0,Vergigny,Yonne,47.9804106914, 3.73096097535
Flogny,N,N,830000,1.0,Flogny-la-Chapelle,Yonne,47.9381503793, 3.86551031961
Tanlay,N,N,830000,1.0,Tanlay,Yonne,47.8491265178, 4.07031413
Troyes,O,O,832000,1.0,Troyes,Aube,48.2958800327, 4.06483520717
Bouilly-Roncenay,O,N,832000,1.0,Roncenay,Aube,48.1953456735, 4.05828326095
Recey-sur-Ource,N,N,838000,1.0,Recey-sur-Ource,Côte-d'Or,47.7790390004, 4.85704517369
Is-sur-Tille,O,O,838000,2.0,Marcilly-sur-Tille,Côte-d'Or,47.5202344872, 5.12977787089
Lux,O,N,838000,2.0,Lux,Côte-d'Or,47.4878733849, 5.20372753944
Villars-Santenoge,N,N,838000,1.0,Villars-Santenoge,Haute-Marne,47.7503337065, 4.98120262429
Maâtz,N,N,846000,1.0,Maâtz,Haute-Marne,47.7025127644, 5.4415634579
Gray,O,N,846000,1.0,Gray,Haute-Saône,47.4517955548, 5.57812936558
Noidans-le-Ferroux,N,N,847000,1.0,Noidans-le-Ferroux,Haute-Saône,47.5679995065, 5.96396075553
Fresne-St-Mamès,N,N,847000,1.0,Fresne-St-Mamès,Haute-Saône,47.5560641217, 5.85259251356
Gray,O,N,847000,1.0,Gray,Haute-Saône,47.4517955548, 5.57812936558
St-Julien-Clénay,O,O,849000,1.0,St-Julien,Côte-d'Or,47.4057323487, 5.12814128982
Auxonne,N,O,850000,1.0,Tillenay,Côte-d'Or,47.1925661055, 5.37722505583
