from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:DUA8768215,StopPoint:DUA76:826,2,336
StopPoint:DUA8768215,StopPoint:DUA76:825,2,336
StopPoint:DUA76:112,StopPoint:DUA76:111,2,252
StopPoint:DUA76:112,StopPoint:DUA8711655,2,336
StopPoint:DUA76:111,StopPoint:DUA76:112,2,252
StopPoint:DUA76:111,StopPoint:DUA8711655,2,336
StopPoint:DUA8711655,StopPoint:DUA76:112,2,336
StopPoint:DUA8711655,StopPoint:DUA76:111,2,336
StopPoint:DUA76:832,StopPoint:DUA76:831,2,252
StopPoint:DUA76:832,StopPoint:DUA8768218,2,336
StopPoint:DUA76:831,StopPoint:DUA76:832,2,252
StopPoint:DUA76:831,StopPoint:DUA8768218,2,336
StopPoint:DUA8768218,StopPoint:DUA76:832,2,336
StopPoint:DUA8768218,StopPoint:DUA76:831,2,336
StopPoint:DUA76:106,StopPoint:DUA76:105,2,252
StopPoint:DUA76:106,StopPoint:DUA8711649,2,336
StopPoint:DUA76:105,StopPoint:DUA76:106,2,252
StopPoint:DUA76:105,StopPoint:DUA8711649,2,336
StopPoint:DUA8711649,StopPoint:DUA76:106,2,336
StopPoint:DUA8711649,StopPoint:DUA76:105,2,336
StopPoint:DUA8738244,StopPoint:DUA76:469,2,336
StopPoint:DUA8738244,StopPoint:DUA76:470,2,336
StopPoint:DUA76:469,StopPoint:DUA8738244,2,336
StopPoint:DUA76:469,StopPoint:DUA76:470,2,252
StopPoint:DUA76:470,StopPoint:DUA8738244,2,336
StopPoint:DUA76:470,StopPoint:DUA76:469,2,252
StopPoint:DUA76:467,StopPoint:DUA76:468,2,252
StopPoint:DUA76:467,StopPoint:DUA8738243,2,403
StopPoint:DUA76:468,StopPoint:DUA76:467,2,252
StopPoint:DUA76:468,StopPoint:DUA8738243,2,397
StopPoint:DUA8738243,StopPoint:DUA76:467,2,336
StopPoint:DUA8738243,StopPoint:DUA76:468,2,336
StopPoint:DUA76:475,StopPoint:DUA76:476,2,252
StopPoint:DUA76:475,StopPoint:DUA8738247,2,336
StopPoint:DUA76:476,StopPoint:DUA76:475,2,252
StopPoint:DUA76:476,StopPoint:DUA8738247,2,336
StopPoint:DUA8738247,StopPoint:DUA76:475,2,336
StopPoint:DUA8738247,StopPoint:DUA76:476,2,336
StopPoint:DUA76:471,StopPoint:DUA76:472,2,252
StopPoint:DUA76:471,StopPoint:DUA8738245,2,336
StopPoint:DUA76:472,StopPoint:DUA76:471,2,252
StopPoint:DUA76:472,StopPoint:DUA8738245,2,336
StopPoint:DUA8738245,StopPoint:DUA76:471,2,336
StopPoint:DUA8738245,StopPoint:DUA76:472,2,336
StopPoint:DUA76:473,StopPoint:DUA76:474,2,252
StopPoint:DUA76:473,StopPoint:DUA8738246,2,336
StopPoint:DUA76:474,StopPoint:DUA76:473,2,252
StopPoint:DUA76:474,StopPoint:DUA8738246,2,336
StopPoint:DUA8738246,StopPoint:DUA76:473,2,336
StopPoint:DUA8738246,StopPoint:DUA76:474,2,336
StopPoint:DUA8741071,StopPoint:DUA8741069,2,443
StopPoint:DUA8741069,StopPoint:DUA8741071,2,362
StopPoint:DUA76:631,StopPoint:DUA76:632,2,252
StopPoint:DUA76:631,StopPoint:DUA8739387,2,336
StopPoint:DUA76:632,StopPoint:DUA76:631,2,252
StopPoint:DUA76:632,StopPoint:DUA8739387,2,336
StopPoint:DUA8739387,StopPoint:DUA76:631,2,336
StopPoint:DUA8739387,StopPoint:DUA76:632,2,336
StopPoint:DUA8739315,StopPoint:DUA8739300,2,504
StopPoint:DUA8739300,StopPoint:DUA8739315,2,672
StopPoint:DUA8754525,StopPoint:DUA76:706,2,336
StopPoint:DUA8754525,StopPoint:DUA76:705,2,336
StopPoint:DUA76:706,StopPoint:DUA8754525,2,336
StopPoint:DUA76:706,StopPoint:DUA76:705,2,252
StopPoint:DUA76:705,StopPoint:DUA8754525,2,336
StopPoint:DUA76:705,StopPoint:DUA76:706,2,252
StopPoint:DUA8768440,StopPoint:DUA76:906,2,336
StopPoint:DUA8768440,StopPoint:DUA76:905,2,336
StopPoint:DUA76:906,StopPoint:DUA8768440,2,336
StopPoint:DUA76:906,StopPoint:DUA76:905,2,252
StopPoint:DUA76:905,StopPoint:DUA8768440,2,336
StopPoint:DUA76:905,StopPoint:DUA76:906,2,252
StopPoint:DUA8768213,StopPoint:DUA76:821,2,336
StopPoint:DUA8768213,StopPoint:DUA76:822,2,336
StopPoint:DUA76:821,StopPoint:DUA8768213,2,336
StopPoint:DUA76:821,StopPoint:DUA76:822,2,252
StopPoint:DUA76:822,StopPoint:DUA8768213,2,336
StopPoint:DUA76:822,StopPoint:DUA76:821,2,252
StopPoint:DUA8768147,StopPoint:DUA76:795,2,336
StopPoint:DUA8768147,StopPoint:DUA76:796,2,336
StopPoint:DUA76:795,StopPoint:DUA8768147,2,336
StopPoint:DUA76:795,StopPoint:DUA76:796,2,252
StopPoint:DUA76:796,StopPoint:DUA8768147,2,336
StopPoint:DUA76:796,StopPoint:DUA76:795,2,252
StopPoint:DUA8768212,StopPoint:DUA76:820,2,336
StopPoint:DUA8768212,StopPoint:DUA76:819,2,336
StopPoint:DUA76:820,StopPoint:DUA8768212,2,336
StopPoint:DUA76:820,StopPoint:DUA76:819,2,252
StopPoint:DUA76:819,StopPoint:DUA8768212,2,336
StopPoint:DUA76:819,StopPoint:DUA76:820,2,252
StopPoint:DUA8768151,StopPoint:DUA76:800,2,336
StopPoint:DUA8768151,StopPoint:DUA76:799,2,336
StopPoint:DUA76:800,StopPoint:DUA8768151,2,336
StopPoint:DUA76:800,StopPoint:DUA76:799,2,252
StopPoint:DUA76:799,StopPoint:DUA8768151,2,336
StopPoint:DUA76:799,StopPoint:DUA76:800,2,252
StopPoint:DUA8739363,StopPoint:DUA76:621,2,336
StopPoint:DUA8739363,StopPoint:DUA76:622,2,336
StopPoint:DUA76:621,StopPoint:DUA8739363,2,336
StopPoint:DUA76:621,StopPoint:DUA76:622,2,252
StopPoint:DUA76:622,StopPoint:DUA8739363,2,336
StopPoint:DUA76:622,StopPoint:DUA76:621,2,252
StopPoint:DUA8768100,StopPoint:DUA76:763,2,336
StopPoint:DUA76:763,StopPoint:DUA8768100,2,336
StopPoint:DUA76:626,StopPoint:DUA76:625,2,252
StopPoint:DUA76:626,StopPoint:DUA8739365,2,336
StopPoint:DUA76:625,StopPoint:DUA76:626,2,252
StopPoint:DUA76:625,StopPoint:DUA8739365,2,336
StopPoint:DUA8739365,StopPoint:DUA76:626,2,336
StopPoint:DUA8739365,StopPoint:DUA76:625,2,336
StopPoint:DUA8768138,StopPoint:DUA76:783,2,336
StopPoint:DUA76:783,StopPoint:DUA8768138,2,336
StopPoint:DUA8768136,StopPoint:DUA76:779,2,336
StopPoint:DUA76:779,StopPoint:DUA8768136,2,336
StopPoint:DUA76:777,StopPoint:DUA8768135,2,336
StopPoint:DUA8768135,StopPoint:DUA76:777,2,336
StopPoint:DUA76:785,StopPoint:DUA8768139,2,336
StopPoint:DUA8768139,StopPoint:DUA76:785,2,336
StopPoint:DUA76:794,StopPoint:DUA76:793,2,252
StopPoint:DUA76:794,StopPoint:DUA8768145,2,336
StopPoint:DUA76:793,StopPoint:DUA76:794,2,252
StopPoint:DUA76:793,StopPoint:DUA8768145,2,336
StopPoint:DUA8768145,StopPoint:DUA76:794,2,336
StopPoint:DUA8768145,StopPoint:DUA76:793,2,336
StopPoint:DUA76:781,StopPoint:DUA8768137,2,336
StopPoint:DUA8768137,StopPoint:DUA76:781,2,336
StopPoint:DUA76:703,StopPoint:DUA76:704,2,252
StopPoint:DUA76:703,StopPoint:DUA8754524,2,336
StopPoint:DUA76:704,StopPoint:DUA76:703,2,252
StopPoint:DUA76:704,StopPoint:DUA8754524,2,336
StopPoint:DUA8754524,StopPoint:DUA76:703,2,336
StopPoint:DUA8754524,StopPoint:DUA76:704,2,336
StopPoint:DUA76:623,StopPoint:DUA76:624,2,252
StopPoint:DUA76:623,StopPoint:DUA8739364,2,336
StopPoint:DUA76:624,StopPoint:DUA76:623,2,252
StopPoint:DUA76:624,StopPoint:DUA8739364,2,336
StopPoint:DUA8739364,StopPoint:DUA76:623,2,336
StopPoint:DUA8739364,StopPoint:DUA76:624,2,336
StopPoint:DUA76:617,StopPoint:DUA76:618,2,252
StopPoint:DUA76:617,StopPoint:DUA8739361,2,336
StopPoint:DUA76:618,StopPoint:DUA76:617,2,252
StopPoint:DUA76:618,StopPoint:DUA8739361,2,336
StopPoint:DUA8739361,StopPoint:DUA76:617,2,336
StopPoint:DUA8739361,StopPoint:DUA76:618,2,336
StopPoint:DUA76:798,StopPoint:DUA76:797,2,252
StopPoint:DUA76:798,StopPoint:DUA8768148,2,336
StopPoint:DUA76:797,StopPoint:DUA76:798,2,252
StopPoint:DUA76:797,StopPoint:DUA8768148,2,336
StopPoint:DUA8768148,StopPoint:DUA76:798,2,336
StopPoint:DUA8768148,StopPoint:DUA76:797,2,336
StopPoint:DUA76:615,StopPoint:DUA76:616,2,252
StopPoint:DUA76:615,StopPoint:DUA8739357,2,336
StopPoint:DUA76:615,StopPoint:DUA8775879,2,291
StopPoint:DUA76:616,StopPoint:DUA76:615,2,252
StopPoint:DUA76:616,StopPoint:DUA8739357,2,336
StopPoint:DUA76:616,StopPoint:DUA8775879,2,291
StopPoint:DUA8739357,StopPoint:DUA76:615,2,336
StopPoint:DUA8739357,StopPoint:DUA76:616,2,336
StopPoint:DUA8739357,StopPoint:DUA8775879,2,252
StopPoint:DUA8775879,StopPoint:DUA76:615,2,282
StopPoint:DUA8775879,StopPoint:DUA76:616,2,282
StopPoint:DUA8775879,StopPoint:DUA8739357,2,252
StopPoint:DUA76:494,StopPoint:DUA76:493,2,252
StopPoint:DUA76:494,StopPoint:DUA8775878,2,126
StopPoint:DUA76:494,StopPoint:DUA8738328,2,336
StopPoint:DUA76:493,StopPoint:DUA76:494,2,252
StopPoint:DUA76:493,StopPoint:DUA8775878,2,126
StopPoint:DUA76:493,StopPoint:DUA8738328,2,336
StopPoint:DUA8775878,StopPoint:DUA76:494,2,126
StopPoint:DUA8775878,StopPoint:DUA76:493,2,126
StopPoint:DUA8775878,StopPoint:DUA8738328,2,420
StopPoint:DUA8738328,StopPoint:DUA76:494,2,336
StopPoint:DUA8738328,StopPoint:DUA76:493,2,336
StopPoint:DUA8738328,StopPoint:DUA8775878,2,420
StopPoint:DUA76:815,StopPoint:DUA76:816,2,252
StopPoint:DUA76:815,StopPoint:DUA8768210,2,336
StopPoint:DUA76:816,StopPoint:DUA76:815,2,252
StopPoint:DUA76:816,StopPoint:DUA8768210,2,336
StopPoint:DUA8768210,StopPoint:DUA76:815,2,336
StopPoint:DUA8768210,StopPoint:DUA76:816,2,336
StopPoint:DUA76:775,StopPoint:DUA8768134,2,336
StopPoint:DUA8768134,StopPoint:DUA76:775,2,336
StopPoint:DUA76:773,StopPoint:DUA8768133,2,336
StopPoint:DUA8768133,StopPoint:DUA76:773,2,336
StopPoint:DUA76:702,StopPoint:DUA76:701,2,252
StopPoint:DUA76:702,StopPoint:DUA8754523,2,336
StopPoint:DUA76:701,StopPoint:DUA76:702,2,252
StopPoint:DUA76:701,StopPoint:DUA8754523,2,336
StopPoint:DUA8754523,StopPoint:DUA76:702,2,336
StopPoint:DUA8754523,StopPoint:DUA76:701,2,336
StopPoint:DUA76:771,StopPoint:DUA8768131,2,336
StopPoint:DUA8768131,StopPoint:DUA76:771,2,336
StopPoint:DUA76:818,StopPoint:DUA76:817,2,252
StopPoint:DUA76:818,StopPoint:DUA8768211,2,336
StopPoint:DUA76:817,StopPoint:DUA76:818,2,252
StopPoint:DUA76:817,StopPoint:DUA8768211,2,336
StopPoint:DUA8768211,StopPoint:DUA76:818,2,336
